"parent","child","parentrated","childrated"
6,5,"Distrust","Distrust"
1,15,"Distrust","Trust"
4,3,"Trust","Distrust"
13,16,"Trust","Trust"
13,10,"Trust","Distrust"
7,5,"Distrust","Trust"
2,21,"Distrust","Distrust"
2,20,"Distrust","Trust"
21,2,"Distrust","Distrust"
21,1,"Trust","Trust"
21,10,"Trust","Distrust"
21,8,"Trust","Trust"
21,3,"Trust","Distrust"
17,3,"Distrust","Trust"
17,23,"Distrust","Distrust"
10,1,"Trust","Trust"
10,6,"Trust","Distrust"
10,21,"Trust","Trust"
10,8,"Distrust","Distrust"
10,25,"Trust","Trust"
10,2,"Trust","Distrust"
10,3,"Trust","Trust"
4,26,"Distrust","Distrust"
26,4,"Distrust","Trust"
5,1,"Distrust","Distrust"
5,6,"Distrust","Trust"
5,7,"Distrust","Distrust"
1,5,"Distrust","Trust"
6,4,"Distrust","Distrust"
4,6,"Distrust","Trust"
2,4,"Distrust","Distrust"
17,28,"Distrust","Trust"
17,13,"Distrust","Distrust"
13,17,"Distrust","Trust"
13,29,"Distrust","Distrust"
29,13,"Distrust","Trust"
17,20,"Distrust","Distrust"
4,31,"Distrust","Trust"
31,4,"Distrust","Distrust"
32,6,"Distrust","Trust"
13,1,"Trust","Distrust"
7,34,"Distrust","Trust"
34,7,"Distrust","Distrust"
32,1,"Distrust","Trust"
1,32,"Distrust","Distrust"
1,34,"Distrust","Trust"
34,1,"Distrust","Distrust"
34,13,"Distrust","Trust"
13,34,"Distrust","Distrust"
6,7,"Distrust","Trust"
7,6,"Distrust","Distrust"
1,17,"Trust","Trust"
1,31,"Distrust","Distrust"
31,1,"Distrust","Trust"
35,6,"Distrust","Distrust"
1,13,"Distrust","Trust"
36,37,"Distrust","Distrust"
37,36,"Distrust","Trust"
35,1,"Distrust","Distrust"
17,1,"Trust","Trust"
8,1,"Distrust","Distrust"
7,29,"Distrust","Trust"
1,20,"Distrust","Distrust"
37,44,"Distrust","Trust"
44,37,"Distrust","Distrust"
39,45,"Distrust","Trust"
39,7,"Distrust","Distrust"
39,44,"Distrust","Trust"
44,39,"Distrust","Distrust"
23,17,"Distrust","Trust"
23,19,"Distrust","Distrust"
36,46,"Distrust","Trust"
46,36,"Distrust","Distrust"
47,1,"Distrust","Trust"
13,7,"Distrust","Distrust"
7,13,"Distrust","Trust"
29,51,"Distrust","Distrust"
51,29,"Distrust","Trust"
29,52,"Distrust","Distrust"
52,29,"Distrust","Trust"
45,39,"Distrust","Distrust"
45,53,"Distrust","Trust"
53,45,"Distrust","Distrust"
45,54,"Distrust","Trust"
54,45,"Distrust","Distrust"
1,54,"Distrust","Trust"
54,1,"Distrust","Distrust"
7,3,"Trust","Trust"
36,41,"Distrust","Distrust"
41,36,"Distrust","Trust"
36,21,"Distrust","Distrust"
21,36,"Distrust","Trust"
7,36,"Distrust","Distrust"
36,7,"Distrust","Trust"
7,53,"Distrust","Distrust"
53,7,"Distrust","Trust"
7,55,"Distrust","Distrust"
55,7,"Distrust","Trust"
29,7,"Distrust","Distrust"
4,57,"Distrust","Trust"
39,21,"Distrust","Distrust"
21,39,"Distrust","Trust"
4,61,"Distrust","Distrust"
61,4,"Distrust","Trust"
61,20,"Trust","Distrust"
61,2,"Distrust","Trust"
35,65,"Distrust","Distrust"
65,35,"Distrust","Trust"
56,1,"Distrust","Distrust"
1,56,"Distrust","Trust"
4,66,"Distrust","Distrust"
66,4,"Distrust","Trust"
21,7,"Distrust","Distrust"
7,20,"Distrust","Trust"
35,69,"Distrust","Distrust"
35,70,"Distrust","Trust"
39,69,"Distrust","Distrust"
69,39,"Distrust","Trust"
69,35,"Distrust","Distrust"
1,71,"Distrust","Trust"
71,1,"Trust","Distrust"
7,28,"Distrust","Trust"
28,7,"Distrust","Distrust"
4,72,"Distrust","Trust"
1,74,"Distrust","Distrust"
74,1,"Distrust","Trust"
41,75,"Distrust","Distrust"
68,64,"Distrust","Trust"
76,7,"Distrust","Distrust"
7,76,"Distrust","Trust"
7,19,"Distrust","Distrust"
32,23,"Distrust","Trust"
23,32,"Distrust","Distrust"
23,20,"Distrust","Trust"
61,77,"Distrust","Distrust"
1,78,"Distrust","Trust"
78,1,"Distrust","Distrust"
60,41,"Distrust","Trust"
41,60,"Distrust","Distrust"
78,60,"Distrust","Trust"
60,78,"Distrust","Distrust"
57,4,"Distrust","Trust"
23,69,"Distrust","Distrust"
69,23,"Distrust","Trust"
64,68,"Distrust","Distrust"
35,79,"Distrust","Trust"
79,35,"Distrust","Distrust"
41,4,"Distrust","Trust"
4,41,"Distrust","Distrust"
1,68,"Distrust","Trust"
68,1,"Distrust","Distrust"
69,28,"Distrust","Trust"
28,69,"Distrust","Distrust"
64,80,"Distrust","Trust"
17,81,"Distrust","Distrust"
81,17,"Distrust","Trust"
69,62,"Distrust","Distrust"
62,69,"Distrust","Trust"
41,83,"Distrust","Distrust"
41,104,"Distrust","Trust"
83,41,"Distrust","Distrust"
41,86,"Distrust","Trust"
86,41,"Distrust","Distrust"
104,41,"Distrust","Trust"
4,87,"Distrust","Distrust"
87,4,"Distrust","Trust"
81,69,"Distrust","Distrust"
69,81,"Distrust","Trust"
41,89,"Distrust","Distrust"
89,41,"Distrust","Trust"
60,87,"Distrust","Distrust"
87,60,"Distrust","Trust"
7,89,"Distrust","Distrust"
89,7,"Distrust","Trust"
64,94,"Distrust","Distrust"
41,70,"Distrust","Trust"
94,64,"Distrust","Distrust"
70,95,"Distrust","Trust"
95,70,"Distrust","Distrust"
70,41,"Distrust","Trust"
70,35,"Distrust","Distrust"
39,17,"Distrust","Trust"
17,39,"Distrust","Distrust"
70,96,"Distrust","Trust"
96,70,"Distrust","Distrust"
15,97,"Distrust","Trust"
97,15,"Distrust","Distrust"
69,99,"Distrust","Trust"
99,69,"Distrust","Distrust"
88,7,"Distrust","Trust"
1,81,"Distrust","Distrust"
70,15,"Distrust","Trust"
15,70,"Distrust","Distrust"
81,1,"Distrust","Trust"
1,101,"Distrust","Distrust"
62,54,"Distrust","Trust"
54,62,"Distrust","Distrust"
101,1,"Distrust","Trust"
